dv1,dv2,dv3,obj
-8,-15,72,0.271754311
-4,-15,72,0.399453782
0,-15,72,0.49506778
4,-15,72,0.498056917
8,-15,72,0.513365508
-10,0,72,0.35152661
-8,0,72,0.400764312
-6,0,72,0.357243439
-4,0,72,0.353870388
-2,0,72,0.352458579
0,0,72,0.383286131
2,0,72,0.395560744
4,0,72,0.443666533
6,0,72,0.450043586
8,0,72,0.461859536
10,0,72,0.437620925
-8,40,72,0.50693976
-4,40,72,0.537450525
0,40,72,0.522261091
4,40,72,0.537538284
8,40,72,0.543498703
-8,-15,112,0.359800185
-4,-15,112,0.489773539
0,-15,112,0.494105804
4,-15,112,0.479061527
8,-15,112,0.32333575
-10,0,112,0.409263139
-8,0,112,0.467628048
-6,0,112,0.400944126
-4,0,112,0.388818924
-2,0,112,0.382928344
0,0,112,0.403114955
2,0,112,0.393606909
4,0,112,0.404922512
6,0,112,0.426913914
8,0,112,0.456549205
10,0,112,0.41216465
-8,20,112,0.500875614
-4,20,112,0.502261607
0,20,112,0.518515678
4,20,112,0.519399036
8,20,112,0.512218319
-8,40,112,0.491247636
-4,40,112,0.528003385
0,40,112,0.517559442
4,40,112,0.538832667
8,40,112,0.506153395
-8,-15,152,0.500447781
-4,-15,152,0.493724322
0,-15,152,0.518434928
4,-15,152,0.527696456
8,-15,152,0.356879387
-10,0,152,0.480110075
-8,0,152,0.525724026
-6,0,152,0.494826021
-4,0,152,0.53702397
-2,0,152,0.474303945
0,0,152,0.468191632
2,0,152,0.445899151
4,0,152,0.489913036
6,0,152,0.482950483
8,0,152,0.487263344
10,0,152,0.461177007
-8,20,152,0.499987733
-4,20,152,0.502130771
0,20,152,0.515849333
4,20,152,0.511654723
8,20,152,0.507642222
-8,40,152,0.528975774
-4,40,152,0.545383478
0,40,152,0.549340104
4,40,152,0.559365537
8,40,152,0.53962347
-8,-15,192,0.558697301
-4,-15,192,0.576696143
0,-15,192,0.590088659
4,-15,192,0.591811494
8,-15,192,0.474274405
-10,0,192,0.572796446
-8,0,192,0.615098884
-6,0,192,0.608428836
-4,0,192,0.642193488
-2,0,192,0.574146325
0,0,192,0.564888655
2,0,192,0.52956759
4,0,192,0.549523247
6,0,192,0.523598857
8,0,192,0.522167487
10,0,192,0.504207068
-8,20,192,0.575300159
-4,20,192,0.599183902
0,20,192,0.600376052
4,20,192,0.617302444
8,20,192,0.537345561
-8,40,192,0.576518878
-4,40,192,0.6044692
0,40,192,0.625738552
4,40,192,0.581529835
8,40,192,0.458675138
